code_iris,median_income,poverty_rate,income_d1,income_d9,income_inequality_ratio,gini_index,income_q1,income_q3,code_insee
060270105,26370.0,12.0,12890.0,48040.0,3.7,0.29,18740.0,35120.0,06027
060270106,,,,,,,,,06027
060270107,21980.0,17.0,11050.0,35840.0,3.2,0.254,15950.0,28450.0,06027
060270108,22450.0,18.0,11130.0,37360.0,3.4,0.269,15920.0,29580.0,06027
060270109,25100.0,11.0,13320.0,42600.0,3.2,0.267,19060.0,32730.0,06027
060270110,25360.0,11.0,13440.0,44940.0,3.3,0.265,19180.0,33380.0,06027
060270111,25680.0,10.0,13830.0,45420.0,3.3,0.269,19280.0,34120.0,06027
060270112,28180.0,9.0,14440.0,48750.0,3.4,0.291,20760.0,36150.0,06027
060270113,25540.0,9.0,14540.0,43600.0,3.0,0.271,19340.0,32920.0,06027
060270114,24440.0,13.0,12480.0,44430.0,3.6,0.286,17720.0,32600.0,06027
060270115,27640.0,11.0,13110.0,51790.0,3.9,0.318,19680.0,38030.0,06027
060270116,22870.0,13.0,12120.0,37080.0,3.1,0.258,17370.0,29690.0,06027
060270117,22510.0,17.0,11430.0,36490.0,3.2,0.248,16410.0,28860.0,06027
060290101,27010.0,17.0,10300.0,62390.0,6.1,0.396,17080.0,41440.0,06029
060290102,23050.0,20.0,10020.0,46460.0,4.6,0.34,15470.0,33840.0,06029
060290103,28140.0,16.0,10120.0,68260.0,6.7,0.479,17700.0,42420.0,06029
060290104,24380.0,16.0,11100.0,50120.0,4.5,0.386,16920.0,34410.0,06029
060290105,21350.0,21.0,10360.0,40340.0,3.9,0.332,14880.0,29940.0,06029
060290106,27860.0,15.0,11280.0,64680.0,5.7,0.448,18030.0,42600.0,06029
