structure,nom1,nom2,adresse1,adresse2,cp,ville,longitude,latitude,coordonnees_geoloc,coordonnees_ban,region,coordonnees_finales.lon,coordonnees_finales.lat,coordonnees_finales
Centre national des arts de la rue,Le Parapluie,,"20, rue de la Coste",BP 205,15002.0,AURILLAC cedex,2.469214,44.96161399999999,"44.96161399999999,2.469214",,Auvergne-Rhône-Alpes,2.469214,44.96161399999999,
Centre d’art,LA KUNSTHALLE,,La Fonderie,,68100.0,MULHOUSE,,,,"47.739008, 7.331286",Grand Est,7.331286,47.739008,
Orchestre Permanent,Orchestre symphonique du Rhin-Mulhouse,,"La Filature - 20, allée Nathan Katz",,68090.0,Mulhouse cedex,7.351713000000001,47.75726,"47.75726,7.351713000000001",,Grand Est,7.351713000000001,47.75726,
SMAC,Le Florida,Adem Association pour le développement de l'expression musicale,"95, boulevard Carnot",,47000.0,AGEN,,,,"44.202916, 0.620457",Nouvelle-Aquitaine,0.6204569999999999,44.202916,
Centre d’art,CENTRE D'ART PASSERELLE,,41 rue Charles Berthelot,,29200.0,BREST,,,,"48.397838, -4.479698",Bretagne,-4.479698,48.397838,
Centre chorégraphique national,Centre chorégraphique national de Franche-Comté à Belfort,,"3, avenue de l'Espérance",,90000.0,Belfort,6.862670999999999,47.64154,"47.64154,6.862670999999999","47.641339, 6.862661",Bourgogne-Franche-Comté,6.862670999999999,47.64154,
Centre de développement chorégraphique,Centre de développement chorégraphique Toulouse / midi-Pyrénées,,,,31300.0,TOULOUSE,,,,"43.604268, 1.441019",Occitanie,1.441019,43.604268,
Pôle cirque,Le Cirque-Théâtre d’Elbeuf,,2 Rue Augustin Henry,BP 80356,76500.0,ELBEUF,,,,"49.290545, 1.010811",Normandie,1.010811,49.290545,
Opéra en région,Opéra National de Lyon,,1 place de la Comédie,,66203.0,LYON Cedex,4.837869,45.76813999999999,"45.76813999999999,4.837869",,Auvergne-Rhône-Alpes,4.8378689999999995,45.76813999999999,
Scène Nationale,L’Equinoxe - Scène nationale,,"CS 60306, Avenue Charles de Gaulle",BP 306,36000.0,CHATEAUROUX,1.693225,46.80716699999999,"46.80716699999999,1.693225","46.808249, 1.691556",Centre-Val de Loire,1.693225,46.80716699999999,
Centre d’art,LE PLATEAU,,33 rue des Alouettes,,75019.0,PARIS,,,,"48.878195, 2.385454",Île-de-France,2.385454,48.878195,
SMAC,SMAC d'agglomération Bordelaise : Le Rocher de Palmer,,"1, rue Aristide Briand",,33150.0,saint nazaire,,,,"44.861266, -0.523474",Nouvelle-Aquitaine,-0.523474,44.861266,
Centre Dramatique National,NOUVEAU THEATRE D’ANGERS,Théâtre Le Quai,17 rue de la Tannerie,B.P. 10103,49101.0,ANGERS CEDEX 02,-0.565009,47.472959999999986,"47.472959999999986,-0.565009",,Pays de la Loire,-0.565009,47.472959999999986,
Centre d’art,CENTRE DU LIVRE D'ARTISTE PAYS-PAYSAGE,,"1, place Attane",,87500.0,SAINT-YRIEIX-LA-PERCHE,,,,"45.515511, 1.202284",Nouvelle-Aquitaine,1.202284,45.515511,
SMAC,la Vapeur,Régie personnalisée,"42, avenue de Stalingrad",,21000.0,DIJON,,,,"47.346335, 5.059448",Bourgogne-Franche-Comté,5.059448,47.346335,
Scène Nationale,Espace Malraux / Scène nationale Chambéry-Savoie,,"67, place François Mitterrand",BP 147,73000.0,CHAMBERY Cedex,5.925292,45.566827,"45.566827,5.925292","45.563335, 5.924479",Auvergne-Rhône-Alpes,5.925292,45.566827,
Scène Nationale,Scène nationale Évreux-Louviers,,Place Charles de Gaulle,,27000.0,ÉVREUX,1.15116,49.02733299999999,"49.02733299999999,1.15116","49.027378, 1.150741",Normandie,1.15116,49.02733299999999,
Scène Nationale,L'Allan - Scène Nationale de Montbéliard,,"54, rue Clemenceau",BP 236,25204.0,MONTBÉLIARD Cedex,6.797719,47.511205000000004,"47.511205000000004,6.797719",,Bourgogne-Franche-Comté,6.797719,47.511205000000004,
Centre Dramatique National,THEATRE NATIONAL DE TOULOUSE MIDI-PYRENEES,,"1, rue Pierre Baudis",B.P. 50919,31009.0,TOULOUSE Cedex 06,1.449791,43.603784,"43.603784,1.449791",,Occitanie,1.449791,43.603784,
SMAC,Les Abattoirs,,Route de lIsle d'Abeau,,38300.0,BOURGOIN-JALLIEU,,,,"45.602731, 5.263921",Auvergne-Rhône-Alpes,5.263921,45.602731,
SMAC en cours de labellisation,Espace Julien SMAC d'agglomération marseillaise,association Teknicité,"39, cours Julien",,13006.0,MARSEILLE,,,,"43.294366, 5.383364",Provence-Alpes-Côte d'Azur,5.383364,43.294366,
SMAC,"SMAC départementale Landes :
Café Music

LMA",AMAC / LMA,,,,Mont de Marsan |Saint Vincent de Tyrosse,,,,"43.655576, -1.301236",Nouvelle-Aquitaine,-1.301236,43.655575999999996,
Centre d’art,PARC SAINT LEGER,CENTRE D'ART CONTEMPORAIN,Avenue Conti,,58320.0,POUGUES-LES-EAUX,,,,"47.078946, 3.099219",Bourgogne-Franche-Comté,3.099219,47.078946,
Centre de développement chorégraphique,Art Danse Bourgogne,,,,21000.0,DIJON,,,,"47.322982, 5.041742",Bourgogne-Franche-Comté,5.041742,47.322982,
Orchestre Permanent,Orchestre national du Capitole de Toulouse,,Halle aux Grains - Place Dupuy,,31000.0,TOULOUSE,1.4543900000000003,43.599574999999994,"43.599574999999994,1.4543900000000003",,Occitanie,1.45439,43.599574999999994,
SMAC,Jazzdor,Jazzdor Festival,"25, rue des Frères",,67000.0,STRASBOURG,,,,"48.582945, 7.753095",Grand Est,7.753095,48.582945,
SMAC,Le Grand Mix,Association la Passerelle,"25, rue du Calvaire",,59200.0,TOURCOING,,,,"50.725859, 3.15489",Hauts-de-France,3.15489,50.725859,
SMAC en cours de labellisation,SMAC le 109,,Rue Ernest Montusés,,3100.0,MONTLUCON,,,,"46.323318, 2.61987",Auvergne-Rhône-Alpes,2.61987,46.323318,
